@relation testdata_predicted

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A3 {u,y,l}
@attribute A4 {g,p,gg}
@attribute A5 numeric
@attribute A6 {w,q,c,x,i,d,e,aa,cc,ff,m,k,j,r}
@attribute A7 numeric
@attribute A8 {TRUE,FALSE}
@attribute A9 {v,h,bb,ff,j,z,o,dd,n}
@attribute A10 numeric
@attribute A11 {TRUE,FALSE}
@attribute A12 numeric
@attribute A13 {FALSE,TRUE}
@attribute A14 numeric
@attribute A15 {g,s,p}
@attribute 'prediction margin' numeric
@attribute 'predicted A16' {Success,Failure}
@attribute A16 {Success,Failure}

@data
b,32.67,y,p,9,w,0,FALSE,h,5.25,TRUE,0,TRUE,154,g,-0.855528,Failure,?
a,28.08,y,p,15,e,13212,FALSE,z,0,TRUE,0,FALSE,0,g,1,Success,?
b,73.42,u,g,17.75,ff,0,FALSE,ff,0,TRUE,0,TRUE,0,g,-0.786419,Failure,?
b,64.08,u,g,20,x,1000,TRUE,h,17.5,TRUE,9,TRUE,0,g,1,Success,?
b,51.58,u,g,15,c,0,TRUE,v,8.5,TRUE,9,FALSE,0,g,0.999996,Success,?
b,26.67,y,p,1.75,c,5777,TRUE,v,1,TRUE,5,TRUE,160,g,1,Success,?
b,25.33,u,g,0.58,c,5124,TRUE,v,0.29,TRUE,7,TRUE,96,g,1,Success,?
b,30.17,u,g,6.5,cc,1200,TRUE,v,3.125,TRUE,8,FALSE,330,g,0.99947,Success,?
b,27,u,g,0.75,c,150,TRUE,h,4.25,TRUE,3,TRUE,312,g,0.105836,Success,?
b,23.17,?,?,0,?,0,FALSE,?,0,FALSE,0,FALSE,?,p,-0.999703,Failure,?
b,34.17,u,g,5.25,w,6,FALSE,v,0.085,FALSE,0,TRUE,290,g,-0.999087,Failure,?
b,38.67,u,g,0.21,k,0,FALSE,v,0.085,TRUE,0,TRUE,280,g,-0.990008,Failure,?
b,25.75,u,g,0.75,c,23,FALSE,bb,0.25,TRUE,0,FALSE,349,g,-0.98612,Failure,?
a,46.08,u,g,3,c,4159,TRUE,v,2.375,TRUE,8,TRUE,396,g,1,Success,?
a,21.5,u,g,6,aa,918,TRUE,v,2.5,TRUE,3,FALSE,80,g,-0.25197,Failure,?
?,20.08,u,g,0.125,q,768,TRUE,v,1,FALSE,1,FALSE,240,g,-0.985776,Failure,?
b,20.5,u,g,2.415,c,3000,TRUE,v,2,TRUE,11,TRUE,200,g,0.99999,Success,?
a,29.5,u,g,0.46,k,500,TRUE,v,0.54,TRUE,4,FALSE,380,g,-0.89564,Failure,?
?,42.25,y,p,1.75,?,1,FALSE,?,0,FALSE,0,TRUE,150,g,-0.999838,Failure,?
b,29.83,y,p,1.25,k,0,FALSE,v,0.25,FALSE,0,FALSE,224,g,-0.999976,Failure,?
b,20.08,u,g,0.25,q,0,FALSE,v,0.125,FALSE,0,FALSE,200,g,-0.998931,Failure,?
b,23.42,u,g,0.585,c,0,FALSE,h,0.085,TRUE,0,FALSE,180,g,-0.953166,Failure,?
a,29.58,y,p,1.75,k,0,FALSE,v,1.25,FALSE,0,TRUE,280,g,-0.999969,Failure,?
b,16.17,u,g,0.04,c,0,FALSE,v,0.04,FALSE,0,FALSE,0,g,-0.999611,Failure,?
b,32.33,u,g,3.5,k,0,FALSE,v,0.5,FALSE,0,TRUE,232,g,-0.999775,Failure,?
b,?,y,p,0.04,d,0,FALSE,v,4.25,FALSE,0,TRUE,460,g,-0.999943,Failure,?
b,47.83,u,g,4.165,x,0,FALSE,bb,0.085,FALSE,0,TRUE,520,g,-0.996829,Failure,?
b,20,y,p,1.25,k,4,FALSE,v,0.125,FALSE,0,FALSE,140,g,-0.999978,Failure,?
b,27.58,y,p,3.25,q,1,TRUE,h,5.085,FALSE,2,TRUE,369,g,-0.961079,Failure,?
b,22,u,g,0.79,w,283,TRUE,v,0.29,FALSE,1,FALSE,420,g,-0.997315,Failure,?
b,19.33,u,g,10.915,c,7,TRUE,bb,0.585,FALSE,2,TRUE,200,g,-0.974089,Failure,?
a,38.33,u,g,4.415,c,0,FALSE,v,0.125,FALSE,0,FALSE,160,g,-0.999196,Failure,?
b,29.42,u,g,1.25,c,108,TRUE,h,0.25,FALSE,2,TRUE,400,g,-0.983836,Failure,?
b,22.67,u,g,0.75,i,9,TRUE,v,1.585,FALSE,1,TRUE,400,g,-0.998648,Failure,?
